# SeqNo; Location; Value
#

1; 2; 10.5196
2; 1; 85.2815
3; 2; 63.8276
4; 2; 84.4309
5; 1; 73.6285
6; 2; 64.5058
7; 2; 74.0891
8; 2; 13.5131
9; 1; 52.3738
10; 1; 15.4914
11; 1; 59.7209
12; 1; 80.6917
13; 2; 96.3351
14; 2; 95.4192
15; 1; 95.8556
16; 2; 28.192
17; 2; 11.2794
18; 2; 1.96339
19; 1; 14.9624
20; 1; 15.9138
21; 1; 45.1185
22; 2; 99.8794
23; 2; 28.2947
24; 2; 62.7351
25; 2; 7.04005
26; 2; 45.7683
27; 1; 95.3539
28; 1; 58.345
29; 1; 27.6497
30; 1; 59.6794
31; 2; 47.6959
32; 2; 2.21855
33; 1; 8.52896
34; 2; 30.4547
35; 2; 52.4267
36; 1; 48.0734
37; 1; 81.9008
38; 2; 27.9977
39; 1; 99.8774
40; 2; 49.9136
41; 1; 93.5977
42; 1; 90.6506
43; 1; 21.7639
44; 2; 83.2727
45; 1; 70.5962
46; 2; 79.59
47; 1; 38.4461
48; 2; 58.4439
49; 2; 41.5468
50; 1; 2.71721
51; 1; 57.8689
52; 1; 52.1205
53; 1; 85.3513
54; 1; 85.856
55; 2; 16.3697
56; 2; 83.9326
57; 1; 34.3129
58; 2; 62.8646
59; 1; 27.9326
60; 1; 57.1666
61; 2; 10.246
62; 1; 34.8668
63; 2; 33.2474
64; 2; 13.9168
65; 1; 7.32968
66; 2; 65.9128
67; 1; 37.7395
68; 2; 4.71058
69; 1; 94.8238
70; 2; 7.95645
71; 2; 94.0222
72; 1; 46.6188
73; 1; 56.3968
74; 2; 45.1201
75; 2; 96.0615
76; 1; 79.8173
77; 2; 75.9773
78; 2; 22.9878
79; 2; 79.2927
80; 2; 86.4388
81; 2; 47.1433
82; 1; 19.2751
83; 2; 54.9547
84; 1; 39.5335
85; 1; 58.8672
86; 2; 29.3258
87; 2; 34.8417
88; 2; 9.728
89; 2; 16.8492
90; 2; 84.1378
91; 1; 68.7605
92; 1; 80.9633
93; 2; 55.613
94; 1; 25.9571
95; 2; 5.91217
96; 1; 2.80802
97; 1; 82.5574
98; 2; 82.8997
99; 2; 8.54566
100; 2; 54.3189
# EOF
